Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2315/MUM/2011,Granted,Dr. Prasad D. Khandekar,Pass Transistor Adiabatic Circuit With Stand- By Mode (Pal2nsm) Logic Style,Dr. Prasad D. Khandekar,17-08-2011,17-12-2020,353941,"Vishwakarma Institute of Information Technology, Pune",https://drive.google.com/file/d/1k_mzGREKOL4uPUUzHERUFPeHaDvnoIC6/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"7,9,11,12,13",https://docs.google.com/document/d/16KGjPIDijsPqOaOCyBMvIwykJzD_Oh09/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
2,202021008633,Granted,"TIWARI, Meenakshi M.; JADHAV, Vikrant V.; THOTE,
Abhishek; KAMBLE, Ranjit; DAIGAVANE, Pallavi",Loop device for a plurality of teeth,"TIWARI, Meenakshi M.; JADHAV, Vikrant V.; THOTE,
Abhishek; KAMBLE, Ranjit; DAIGAVANE, Pallavi",28-02-2020,27-11-2020,352515,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1pAAiPHddW_vaK4w2TxlQ8ZM9f6m6hCCC/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"3,9,10,12",https://docs.google.com/document/d/1M9fkxE7w2mbYSwlCVpUCRNruKd_fr2lC/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
3,2183/MUM/2012,Granted,"Vivek Deshpande, Archana Khandekar(Dhoke)",Process for estimation of flow rate to control congestion in wireless sensor network,Vivek Deshpande,7/31/2012,22-06-2020,339009,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1YLRIo1pGA6gZg57AQDkl9j2A-oDDq2Rd/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"9,12,7,11,13",https://docs.google.com/document/d/1X4gQlJoRGNgf1hfO6zb4yJ2CWza0Uys4/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
4,2020102377,Granted,"Jeevan Pise, Priya; Kamble, Sachin Ramchandra; Ganesh, Kolli Mehar; Kumar, Shiv; Sonawane, Mahesh B.;
Paul, Sajal Rudra; Chordiya, S. B. and More, Ashok",Water collection & notification intelligent management technology.,"Jeevan Pise, Priya; Kamble, Sachin Ramchandra; Ganesh, Kolli Mehar; Kumar, Shiv; Sonawane, Mahesh B.;
Paul, Sajal Rudra; Chordiya, S. B. and More, Ashok",23-09-2020,10/21/2020,2020102377,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1nZIbix1oDSneWBr_ijOl8GIGhZoedKoW/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Civil Engineering,Australia,"6,7,9,11,12,13,17",https://docs.google.com/document/d/17UAsRzMoPRHtYY0SqqjQ23YVmR0Ywe0r/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
5,2020101867,Granted,"Dr. Krishna Warhade, C.T., MANIMEGALAI; R., RAJU; S., RAMESH; N., VIJAYALAKSHMI; SWAMINATHAN, ARULNANTHISIVAM;
 K., SAKTHIDASAN @ SANKARAN; K. S. R., RADHIKA; E., DHIRAVIDACHELVI; CHANDRAKANT DHAGE,
 PRADEEPKUMAR",Design and Implementation of a disaster management system using IOT and cloud computing techniques for a connected buildings to save lives with early warning,"C.T., MANIMEGALAI; R., RAJU; S., RAMESH; N., VIJAYALAKSHMI; SWAMINATHAN, ARULNANTHISIVAM;
 K., SAKTHIDASAN SANKARAN; K. S. R., RADHIKA; E., DHIRAVIDACHELVI; CHANDRAKANT DHAGE,
 PRADEEPKUMAR and WARHADE, KRISHNA K.",18-08-2020,9/9/2020,2020101867,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/17qQt5wfX37pRaeNLLvR5Rtcc8MrUSjE-/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Electrical and Electronics Engineering,Australia,"11,9,13,3,17,7",https://docs.google.com/document/d/1ihmFAQRanWC9SSPoChbzzE0pdcGqCmSK/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
6,202021024989,Published,"Dr Atul Prabhakar Kulkarni, Dr Pravin Popat Hujare, Dr Satish Chinchanikar, Mr Kartik Vijay Gawali, Mr.Tejas Suraj Taradgaonkar, Mr.Ruturaj Vrushiket Chaudhari, Mr.Lokesh Rahul Patil, Mr.Swapnil Navnath Gaikwad, Mr Deepak Popat Hujare",Design and development of innovative spatters removal device in manufacturing,Dr Pravin Popat Hujare,15-06-2020,10-07-2020,28/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1MgfkiElFe_9b4AqUSBfx_vIifFzBD8UY/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,12,8,13,11",https://docs.google.com/document/d/10D09X06aH7sQ7ad863PzZFX-jN1uvMT1/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
7,202021007685,Published,"SUCHITRA AMOL KHOJE, SANJAY BHAGWAN MOHITE",Safety System For Drainage Gas Monitoring,"SUCHITRA AMOL KHOJE, SANJAY BHAGWAN MOHITE",24-02-2020,3/6/2020,10/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/17Gl7DmYYHl9Zeu00tT3lOs4U82aMjqt2/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"3,8,9,11,12,13",https://docs.google.com/document/d/1Y2lh9iqbf_IuiQoC5x_s1Lqi5qABgtbK/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
8,202021007681,Published,"SANJAY BHAGWAN MOHITE, SUCHITRA AMOL KHOJE",Smart Crop Disease Detection And Treatment System,"SANJAY BHAGWAN MOHITE, SUCHITRA AMOL KHOJE",24-02-2020,3/6/2020,10/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1xrD_xK10rqSdY8S00MmPib3AgR2sBu2u/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"2,9,12,13,8,15",https://docs.google.com/document/d/1cgevnyt5esEN6tjD-74ygz77o1aZCAYC/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
9,202021043072,Published,Dr Mrudula S Kulkarni,Development of Thermal conductivity and maturity meter,Dr Sumant N Shinde Dr. H. R. MagarPatil,04-10-2020,09-10-2020,41/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1SL1UhMbtlJfRU4yTRmuIQv_Puvb4yIlK/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Civil Engineering,India,"9,11,12,13,7,4",https://docs.google.com/document/d/1gxiZPsfXk5DbsdWte1dKsWS_PZRpPc09/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
